block_id,athlete_id,block_name,start_date,end_date,block_focus,planned_frequency_per_week,notes
73,19,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 19
74,19,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 19
75,19,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 19
76,19,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 19
77,20,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 20
78,20,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 20
79,20,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 20
80,20,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 20
81,21,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 21
82,21,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 21
83,21,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 21
84,21,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 21
85,22,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 22
86,22,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 22
87,22,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 22
88,22,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 22
89,23,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 23
90,23,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 23
91,23,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 23
92,23,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 23
93,24,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 24
94,24,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 24
95,24,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 24
96,24,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 24
97,25,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 25
98,25,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 25
99,25,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 25
100,25,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 25
101,26,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 26
102,26,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 26
103,26,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 26
104,26,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 26
105,27,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 27
106,27,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 27
107,27,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 27
108,27,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 27
109,28,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 28
110,28,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 28
111,28,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 28
112,28,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 28
113,29,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 29
114,29,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 29
115,29,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 29
116,29,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 29
117,30,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 30
118,30,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 30
119,30,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 30
120,30,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 30
121,31,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 31
122,31,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 31
123,31,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 31
124,31,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 31
125,32,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 32
126,32,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 32
127,32,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 32
128,32,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 32
129,33,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 33
130,33,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 33
131,33,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 33
132,33,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 33
133,34,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 34
134,34,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 34
135,34,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 34
136,34,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 34
137,35,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 35
138,35,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 35
139,35,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 35
140,35,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 35
141,36,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 36
142,36,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 36
143,36,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 36
144,36,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 36
145,37,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 37
146,37,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 37
147,37,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 37
148,37,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 37
149,38,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 38
150,38,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 38
151,38,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 38
152,38,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 38
153,39,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 39
154,39,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 39
155,39,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 39
156,39,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 39
157,40,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 40
158,40,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 40
159,40,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 40
160,40,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 40
161,41,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 41
162,41,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 41
163,41,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 41
164,41,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 41
165,42,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 42
166,42,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 42
167,42,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 42
168,42,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 42
169,43,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 43
170,43,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 43
171,43,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 43
172,43,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 43
173,44,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 44
174,44,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 44
175,44,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 44
176,44,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 44
177,45,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 45
178,45,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 45
179,45,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 45
180,45,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 45
181,46,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 46
182,46,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 46
183,46,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 46
184,46,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 46
185,47,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 47
186,47,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 47
187,47,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 47
188,47,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 47
189,48,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 48
190,48,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 48
191,48,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 48
192,48,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 48
193,49,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 49
194,49,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 49
195,49,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 49
196,49,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 49
197,50,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 50
198,50,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 50
199,50,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 50
200,50,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 50
201,51,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 51
202,51,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 51
203,51,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 51
204,51,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 51
205,52,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 52
206,52,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 52
207,52,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 52
208,52,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 52
209,53,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 53
210,53,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 53
211,53,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 53
212,53,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 53
213,54,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 54
214,54,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 54
215,54,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 54
216,54,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 54
217,55,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 55
218,55,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 55
219,55,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 55
220,55,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 55
221,56,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 56
222,56,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 56
223,56,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 56
224,56,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 56
225,57,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 57
226,57,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 57
227,57,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 57
228,57,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 57
229,58,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 58
230,58,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 58
231,58,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 58
232,58,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 58
233,59,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 59
234,59,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 59
235,59,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 59
236,59,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 59
237,60,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 60
238,60,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 60
239,60,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 60
240,60,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 60
241,61,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 61
242,61,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 61
243,61,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 61
244,61,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 61
245,62,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 62
246,62,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 62
247,62,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 62
248,62,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 62
249,63,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 63
250,63,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 63
251,63,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 63
252,63,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 63
253,64,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 64
254,64,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 64
255,64,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 64
256,64,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 64
257,65,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 65
258,65,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 65
259,65,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 65
260,65,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 65
261,66,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 66
262,66,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 66
263,66,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 66
264,66,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 66
265,67,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 67
266,67,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 67
267,67,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 67
268,67,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 67
269,68,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 68
270,68,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 68
